index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
2972,☦️,Uncategorized,orthodox cross,orthodoxes kreuz,cruz ortodoxa,croix orthodoxe,八端十字架,전통적인 십자가,cruz ortodoxa,croce ortodossa,صلیب ارتدوکسی,salib ortodoks,东正教十字架,православныи крест,ortodoks haçı,صليب أرثوزوكس,صليب أرثوزوكس,TRUE
2973,☦,Uncategorized,orthodox cross,orthodoxes kreuz,cruz ortodoxa,croix orthodoxe,八端十字架,전통적인 십자가,cruz ortodoxa,croce ortodossa,صلیب ارتدوکسی,salib ortodoks,东正教十字架,православный крест,ortodoks haçı,صليب أرثوزوكس,صليب أرثوزوكس,FALSE
2984,🖌,Uncategorized,paintbrush,pinsel,pincel,pinceau,絵筆,붓,pincel,pennello,قلم مو,kuas,画笔,кисточка,boya fırçası,فرشاة ألوان,فرشاة ألوان,FALSE
2986,🫳🏿,Uncategorized,palm down hand dark skin tone,hand mit handfläche nach unten dunkle hautfarbe,mano con la palma hacia abajo tono de piel oscuro,main paume vers le bas peau foncée,下に向けた手 濃い肌色,손바닥을 아래로 향한 손 검은색 피부,mão com a palma para baixo pele escura,mano con il palmo verso il basso carnagione scura,کف دست به پایین پوست آبنوسی,telapak tangan menghadap ke bawah warna kulit gelap,掌心向下的手 较深肤色,рука ладонью вниз очень темный тон кожи,avuç içi aşağı bakan el koyu cilt tonu,راحة يد للأسفل بشرة بلون غامق,راحة يد للأسفل بشرة بلون غامق,TRUE
2987,🫳🏻,Uncategorized,palm down hand light skin tone,hand mit handfläche nach unten helle hautfarbe,mano con la palma hacia abajo tono de piel claro,main paume vers le bas peau claire,下に向けた手 薄い肌色,손바닥을 아래로 향한 손 하얀 피부,mão com a palma para baixo pele clara,mano con il palmo verso il basso carnagione chiara,کف دست به پایین پوست سفید,telapak tangan menghadap ke bawah warna kulit cerah,掌心向下的手 较浅肤色,рука ладонью вниз очень светлый тон кожи,avuç içi aşağı bakan el açık cilt tonu,راحة يد للأسفل بشرة بلون فاتح,راحة يد للأسفل بشرة بلون فاتح,TRUE
2988,🫳🏾,Uncategorized,palm down hand medium-dark skin tone,hand mit handfläche nach unten mitteldunkle hautfarbe,mano con la palma hacia abajo tono de piel oscuro medio,main paume vers le bas peau mate,下に向けた手 やや濃い肌色,손바닥을 아래로 향한 손 진한 갈색 피부,mão com a palma para baixo pele morena escura,mano con il palmo verso il basso carnagione abbastanza scura,کف دست به پایین پوست گندمی,telapak tangan menghadap ke bawah warna kulit gelap-sedang,掌心向下的手 中等深肤色,рука ладонью вниз темный тон кожи,avuç içi aşağı bakan el orta koyu cilt tonu,راحة يد للأسفل بشرة بلون معتدل مائل للغامق,راحة يد للأسفل بشرة بلون معتدل مائل للغامق,TRUE
2989,🫳🏼,Uncategorized,palm down hand medium-light skin tone,hand mit handfläche nach unten mittelhelle hautfarbe,mano con la palma hacia abajo tono de piel claro medio,main paume vers le bas peau moyennement claire,下に向けた手 やや薄い肌色,손바닥을 아래로 향한 손 연한 갈색 피부,mão com a palma para baixo pele morena clara,mano con il palmo verso il basso carnagione abbastanza chiara,کف دست به پایین پوست روشن,telapak tangan menghadap ke bawah warna kulit cerah-sedang,掌心向下的手 中等浅肤色,рука ладонью вниз светлый тон кожи,avuç içi aşağı bakan el orta açık cilt tonu,راحة يد للأسفل بشرة بلون فاتح ومعتدل,راحة يد للأسفل بشرة بلون فاتح ومعتدل,TRUE
2990,🫳🏽,Uncategorized,palm down hand medium skin tone,hand mit handfläche nach unten mittlere hautfarbe,mano con la palma hacia abajo tono de piel medio,main paume vers le bas peau légèrement mate,下に向けた手 中間の肌色,손바닥을 아래로 향한 손 갈색 피부,mão com a palma para baixo pele morena,mano con il palmo verso il basso carnagione olivastra,کف دست به پایین پوست طلایی,telapak tangan menghadap ke bawah warna kulit sedang,掌心向下的手 中等肤色,рука ладонью вниз средний тон кожи,avuç içi aşağı bakan el orta cilt tonu,راحة يد للأسفل بشرة بلون معتدل,راحة يد للأسفل بشرة بلون معتدل,TRUE
2991,🌴,Uncategorized,palm tree,palme,palmera,palmier,ヤシの木,야자수,palmeira,palma,نخل,pohon palem,棕榈树,пальма,palmiye ağacı,نخلة,نخلة,FALSE
2993,🫴🏿,Uncategorized,palm up hand dark skin tone,hand mit handfläche nach oben dunkle hautfarbe,mano con la palma hacia arriba tono de piel oscuro,main paume vers le haut peau foncée,上に向けた手 濃い肌色,손바닥을 위로 향한 손 검은색 피부,mão com a palma para cima pele escura,mano con il palmo verso l’alto carnagione scura,کف دست به بالا پوست آبنوسی,telapak tangan menghadap ke atas warna kulit gelap,掌心向上的手 较深肤色,рука ладонью вверх очень темный тон кожи,avuç içi yukarı bakan el koyu cilt tonu,راحة يد للأعلى بشرة بلون غامق,راحة يد للأعلى بشرة بلون غامق,TRUE
2994,🫴🏻,Uncategorized,palm up hand light skin tone,hand mit handfläche nach oben helle hautfarbe,mano con la palma hacia arriba tono de piel claro,main paume vers le haut peau claire,上に向けた手 薄い肌色,손바닥을 위로 향한 손 하얀 피부,mão com a palma para cima pele clara,mano con il palmo verso l’alto carnagione chiara,کف دست به بالا پوست سفید,telapak tangan menghadap ke atas warna kulit cerah,掌心向上的手 较浅肤色,рука ладонью вверх очень светлый тон кожи,avuç içi yukarı bakan el açık cilt tonu,راحة يد للأعلى بشرة بلون فاتح,راحة يد للأعلى بشرة بلون فاتح,TRUE
2995,🫴🏾,Uncategorized,palm up hand medium-dark skin tone,hand mit handfläche nach oben mitteldunkle hautfarbe,mano con la palma hacia arriba tono de piel oscuro medio,main paume vers le haut peau mate,上に向けた手 やや濃い肌色,손바닥을 위로 향한 손 진한 갈색 피부,mão com a palma para cima pele morena escura,mano con il palmo verso l’alto carnagione abbastanza scura,کف دست به بالا پوست گندمی,telapak tangan menghadap ke atas warna kulit gelap-sedang,掌心向上的手 中等深肤色,рука ладонью вверх темный тон кожи,avuç içi yukarı bakan el orta koyu cilt tonu,راحة يد للأعلى بشرة بلون معتدل مائل للغامق,راحة يد للأعلى بشرة بلون معتدل مائل للغامق,TRUE
2996,🫴🏼,Uncategorized,palm up hand medium-light skin tone,hand mit handfläche nach oben mittelhelle hautfarbe,mano con la palma hacia arriba tono de piel claro medio,main paume vers le haut peau moyennement claire,上に向けた手 やや薄い肌色,손바닥을 위로 향한 손 연한 갈색 피부,mão com a palma para cima pele morena clara,mano con il palmo verso l’alto carnagione abbastanza chiara,کف دست به بالا پوست روشن,telapak tangan menghadap ke atas warna kulit cerah-sedang,掌心向上的手 中等浅肤色,рука ладонью вверх светлый тон кожи,avuç içi yukarı bakan el orta açık cilt tonu,راحة يد للأعلى بشرة بلون فاتح ومعتدل,راحة يد للأعلى بشرة بلون فاتح ومعتدل,TRUE
2997,🫴🏽,Uncategorized,palm up hand medium skin tone,hand mit handfläche nach oben mittlere hautfarbe,mano con la palma hacia arriba tono de piel medio,main paume vers le haut peau légèrement mate,上に向けた手 中間の肌色,손바닥을 위로 향한 손 갈색 피부,mão com a palma para cima pele morena,mano con il palmo verso l’alto carnagione olivastra,کف دست به بالا پوست طلایی,telapak tangan menghadap ke atas warna kulit sedang,掌心向上的手 中等肤色,рука ладонью вверх средний тон кожи,avuç içi yukarı bakan el orta cilt tonu,راحة يد للأعلى بشرة بلون معتدل,راحة يد للأعلى بشرة بلون معتدل,TRUE
2999,🤲🏿,Uncategorized,palms up together dark skin tone,handflächen nach oben dunkle hautfarbe,palmas hacia arriba juntas tono de piel oscuro,paume contre paume doigts vers le haut peau foncée,手のひらを揃えた両手 濃い肌色,내민 두 손 검은색 피부,palmas unidas para cima pele escura,mani unite in alto carnagione scura,دست دعا پوست آبنوسی,tangan diangkat dan dirapatkan bersama warna kulit gelap,掌心向上托起 较深肤色,ладони лодочкой очень темный тон кожи,iki avuç açık koyu cilt tonu,راحتان مفتوحتان بشرة بلون غامق,راحتان مفتوحتان بشرة بلون غامق,TRUE
3000,🤲🏻,Uncategorized,palms up together light skin tone,handflächen nach oben helle hautfarbe,palmas hacia arriba juntas tono de piel claro,paume contre paume doigts vers le haut peau claire,手のひらを揃えた両手 薄い肌色,내민 두 손 하얀 피부,palmas unidas para cima pele clara,mani unite in alto carnagione chiara,دست دعا پوست سفید,tangan diangkat dan dirapatkan bersama warna kulit cerah,掌心向上托起 较浅肤色,ладони лодочкой очень светлый тон кожи,iki avuç açık açık cilt tonu,راحتان مفتوحتان بشرة بلون فاتح,راحتان مفتوحتان بشرة بلون فاتح,TRUE
3001,🤲🏾,Uncategorized,palms up together medium-dark skin tone,handflächen nach oben mitteldunkle hautfarbe,palmas hacia arriba juntas tono de piel oscuro medio,paume contre paume doigts vers le haut peau mate,手のひらを揃えた両手 やや濃い肌色,내민 두 손 진한 갈색 피부,palmas unidas para cima pele morena escura,mani unite in alto carnagione abbastanza scura,دست دعا پوست گندمی,tangan diangkat dan dirapatkan bersama warna kulit gelap-sedang,掌心向上托起 中等深肤色,ладони лодочкой темный тон кожи,iki avuç açık orta koyu cilt tonu,راحتان مفتوحتان بشرة بلون معتدل مائل للغامق,راحتان مفتوحتان بشرة بلون معتدل مائل للغامق,TRUE
3002,🤲🏼,Uncategorized,palms up together medium-light skin tone,handflächen nach oben mittelhelle hautfarbe,palmas hacia arriba juntas tono de piel claro medio,paume contre paume doigts vers le haut peau moyennement claire,手のひらを揃えた両手 やや薄い肌色,내민 두 손 연한 갈색 피부,palmas unidas para cima pele morena clara,mani unite in alto carnagione abbastanza chiara,دست دعا پوست روشن,tangan diangkat dan dirapatkan bersama warna kulit cerah-sedang,掌心向上托起 中等浅肤色,ладони лодочкой светлый тон кожи,iki avuç açık orta açık cilt tonu,راحتان مفتوحتان بشرة بلون فاتح ومعتدل,راحتان مفتوحتان بشرة بلون فاتح ومعتدل,TRUE
3003,🤲🏽,Uncategorized,palms up together medium skin tone,handflächen nach oben mittlere hautfarbe,palmas hacia arriba juntas tono de piel medio,paume contre paume doigts vers le haut peau légèrement mate,手のひらを揃えた両手 中間の肌色,내민 두 손 갈색 피부,palmas unidas para cima pele morena,mani unite in alto carnagione olivastra,دست دعا پوست طلایی,tangan diangkat dan dirapatkan bersama warna kulit sedang,掌心向上托起 中等肤色,ладони лодочкой средний тон кожи,iki avuç açık orta cilt tonu,راحتان مفتوحتان بشرة بلون معتدل,راحتان مفتوحتان بشرة بلون معتدل,TRUE
3009,〽️,Uncategorized,part alternation mark,teilalternationszeichen,marca de alternancia,alternance,いおりてん,부분 교체 기호,sinal japonês indicando início de música,simbolo di alternanza delle parti,علامت تناوب بخش,tanda alternasi bagian,庵点,вступает другои голос,parça değiştirme işareti,بديل,بديل,TRUE
3010,〽,Uncategorized,part alternation mark,teilalternationszeichen,marca de alternancia,alternance,いおりてん,부분 교체 기호,sinal japonês indicando início de música,simbolo di alternanza delle parti,علامت تناوب بخش,tanda alternasi bagian,庵点,вступает другой голос,parça değiştirme işareti,بديل,بديل,FALSE
3014,🛳,Uncategorized,passenger ship,passagierschiff,barco de pasajeros,paquebot,客船,여객선,cruzeiro,nave da crociera,کشتی مسافربری,kapal penumpang,客轮,пассажирский лайнер,yolcu gemisi,سفينة ركاب,سفينة ركاب,FALSE
